# Represents the primary defaults
# This file may be edit or to add or override entries you can edit the user_cpd_defaults.txt file
#




# ID                   MIN         MAX         LOG_SCALE  CPD_FILENAME              CPD_FILENAME(COLORBLIND)  COLORBAR_TITLE        COLORBAR_LABELS                   DESCRIPTION
 absorption           :1.0000e-03 :1.0        :true      :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :0.001,0.003,0.01,0.1,0.3,1       :Absorption
 adg_s                :0.0        :2.0        :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Spectral slope for gelbstof and detrital absorption
 anc_SSS              :0.0        :70         :false     :oceancolor_sss.cpd       :universal_bluered.cpd          :                     :                                 :Sea Surface Salinity Reference
 angstrom             :-0.15      :2.2        :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Angstrom coefficient
 aot                  :0.0        :0.25       :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :0,0.05,0.1,0.15,0.2,0.25           :Aerosol optical thickness
 bbp                  :1.0e-03    :0.1        :true      :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Particle backscatter
 bbp_s                :-1.0       :1.0        :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Spectral slope for particle backscatter
 bbw                  :1.0e-04    :0.01       :true      :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Backscattering coefficient of seawater
 bb                   :1.0e-03    :0.1        :true      :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Total backscatter
 bbp_giop             :1.0e-04    :0.1        :true      :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Particle backscatter
 BSi                  :0.001      :10         :true      :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Biogenic Silica
 BulkSST              :271.15     :318.15     :false     :oceancolor_sst.cpd       :universal_bluered.cpd          :                     :                                 :Sea Surface Temperature (VIIRSN)
 calcite              :5.e-05     :0.05       :true      :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :5e-5,0.0002,0.001,0.005,0.05     :Calcite Concentration
 cdom_index           :0          :7          :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :CDOM Index
 chisqr_giop          :0.0        :5.0        :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Chi-square per degree of freedom
 chlor_a              :0.01       :20.0       :true      :oceancolor_standard.cpd  :universal_bluered.cpd          :Chlorophyll          :0.01,0.03,0.1,0.3,1,3,20         :Chlorophyll a concentration
 chlor_a_owterr       :0.0        :100.0      :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Chlorophyll a relative error, OWT algorithm
 elev                 :-12000.0   :15000.0    :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :-12000,-6000,0,7500,15000        :Elevation
 epsilon              :0.85       :1.231      :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Epsilon of aerosol correction
 EVI                  :-0.05      :0.9152     :false     :oceancolor_ndvi.cpd      :universal_bluered.cpd          :                     :                                 :Enhanced Vegetation Index
 evi                  :-0.35      :0.92       :false     :oceancolor_ndvi.cpd      :universal_bluered.cpd          :                     :                                 :Enhanced Vegetation Index
 flag                 :0.0        :1.016      :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                       Aerosol optical thickness          :Flags
 flh                  :0.0        :0.05       :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :0.0,0.01,0.02,0.03,0.04,0.05     :Fluorescence Line Height
 fqy                  :0.0        :0.05       :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Fluorescence Quantum Yield
 ipar                 :0.0        :0.0025     :false     :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :                                 :Instantaneous Photosynthetically Available Radiation
 Kd_lee               :0.01       :6.0        :true      :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :0.01,0.05,0.2,1,5                :Diffuse attenuation
 Kd_490               :0.01       :6.0        :true      :oceancolor_standard.cpd  :universal_bluered.cpd          :                     :0.01,0.05,0.2,1,5                :Diffuse attenuation coefficient at 490 nm
 NDVI                 :-0.05      :0.915200   :false     :oceancolor_ndvi.cpd      :universal_bluered.cpd          :                     :                                 :Normalized Difference Vegetation Index
 ndvi                 :-0.35      :0.920000   :false     :oceancolor_ndvi.cpd      :universal_bluered.cpd          :                     :                                 :Normalized Difference Vegetation Index
